"Vremenska oznaka","U kojoj ste dobnoj skupini?","Spol","Koristite li Internet/Mobilno bankarstvo?","U kojoj banci koristite Internet/Mobilno Bankarstvo (mogućnost višestrukog odabira)?","Koje opcije Internet/Mobilnog bankarstva najčešće koristite (mogućnost višestrukog odabira)?","Da li ste zadovoljni Internet/Mobilnim bankarstvom koje koristite?","Koje usluge smatrate da bi Internet/Mobilno m bankarstvu koje koristite trebalo dodati?","Koje ostale FinTech servise koristite, molim navedite? (npr. Revolut)","Koje transakcije najčešće provodite putem FinTech aplikacije? (npr. kupovina, mjenjačnica, transfer novca)","Koje su po Vama prednosti, a što nedostaci FinTech aplikacija?","Osjećate li se sigurno pri korištenju Internet/Mobilnog bankarstva/FinTech aplikacija"
"2020/11/01 10:08:02 AM CET","41-45","Ž","Da","Neka druga banka","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa);Zahtjev za promjenom dopuštenog prekoračenja;Ukidanje opunomoćenika","","","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/11/01 10:09:05 AM CET","41-45","Ž","Da","Neka druga banka","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Ugovaranje ostalih proizvoda/usluga","Da, ali treba ga dodatno unaprijediti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa);Zahtjev za promjenom dopuštenog prekoračenja;Ukidanje opunomoćenika","","","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/11/01 10:52:51 AM CET","46-50","M","Da","Erste Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Kupoprodaja strane valute (Mijenjačnica);Oročavanje sredstava (Štednja)","Da, ali treba ga dodatno unaprijediti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Zahtjev za promjenom dopuštenog prekoračenja;Ukidanje opunomoćenika","","","",""
"2020/11/01 10:55:48 AM CET","31-35","Ž","Da","Erste Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Zahtjev i ugovaranje nenamjenskih kredita;Ugovaranje/raskid trajnog naloga","","Kupovina","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/11/01 11:07:13 AM CET","36-40","Ž","Da","ZABA;Erste Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa)","","","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/11/01 11:13:14 AM CET","41-45","M","Da","Erste Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Zahtjev za promjenom dopuštenog prekoračenja;Virtualnu karticu","","","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/11/01 11:16:45 AM CET","36-40","Ž","Ne","","","","","","","",""
"2020/11/01 11:18:11 AM CET","36-40","M","Da","RBA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Zahtjev i ugovaranje nenamjenskih kredita;Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Zahtjev za promjenom dopuštenog prekoračenja","Ne koristim","Ne koristim","Ne koristim","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/11/01 2:22:34 PM CET","36-40","Ž","Da","Addiko Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Ukidanje opunomoćenika","","","","Da, u potpunosti sigurno"
"2020/11/01 2:35:36 PM CET","18-25","Ž","Da","Erste Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Zahtjev za promjenom dopuštenog prekoračenja","Keks Pay, PayPal","Kupovina, transfer novca ","Prednosti su dostupnost bilo kada i bilo gdje, jednostavnost korištenja, smanjena birokracija, nedostatci su nesigurnost i mogućnost krađe podataka. ","Da, ali samo koristeći Internet/Mobilno bankarstvo"
