"Vremenska oznaka","U kojoj ste dobnoj skupini?","Spol","Koristite li Internet/Mobilno bankarstvo?","U kojoj banci koristite Internet/Mobilno Bankarstvo (mogućnost višestrukog odabira)?","Koje opcije Internet/Mobilnog bankarstva najčešće koristite (mogućnost višestrukog odabira)?","Da li ste zadovoljni Internet/Mobilnim bankarstvom koje koristite?","Koje usluge smatrate da bi Internet/Mobilno m bankarstvu koje koristite trebalo dodati?","Koje ostale FinTech servise koristite, molim navedite? (npr. Revolut)","Koje transakcije najčešće provodite putem FinTech aplikacije? (npr. kupovina, mjenjačnica, transfer novca)","Koje su po Vama prednosti, a što nedostaci FinTech aplikacija?","Osjećate li se sigurno pri korištenju Internet/Mobilnog bankarstva/FinTech aplikacija"
"2020/10/31 9:41:33 AM CET","41-45","Ž","Da","PBZ;Addiko Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Zahtjev za nenamjenski kredit","Da, ali treba ga dodatno unaprijediti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa);Zahtjev za promjenom dopuštenog prekoračenja;Virtualnu karticu","-","-","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 9:49:11 AM CET","41-45","M","Da","PBZ","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Zahtjev za nenamjenski kredit","Da u potpunosti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Ukidanje opunomoćenika;Virtualnu karticu","","","","Da, u potpunosti sigurno"
"2020/10/31 10:56:49 AM CET","36-40","Ž","Da","ZABA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Kupoprodaja strane valute (Mijenjačnica)","Da, ali treba ga dodatno unaprijediti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa);Zahtjev za promjenom dopuštenog prekoračenja;Ukidanje opunomoćenika","","","","Da, u potpunosti sigurno"
"2020/10/31 11:00:40 AM CET","36-40","M","Da","Neka druga banka","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa","Da, ali treba ga dodatno unaprijediti","Internet/Mobilno bankarstvo koje koristim nudi sve gore navedene usluge","-","Kupovina","Prednosti dostupnost,nedostaci komplicirani sigurnosni protokoli","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 11:02:05 AM CET","36-40","Ž","Da","ZABA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Ugovaranje/raskid trajnog naloga;Zahtjev za promjenom dopuštenog prekoračenja","Revolut","Kupovina, transfer novca","Jednostavnija aplikacija","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 11:03:54 AM CET","41-45","Ž","Da","ZABA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Kupoprodaja strane valute (Mijenjačnica);Oročavanje sredstava (Štednja)","Da u potpunosti","Zahtjev i ugovaranje nenamjenskih kredita;Ulaganje u investicijske fondove;Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa);Zahtjev za promjenom dopuštenog prekoračenja;Ukidanje opunomoćenika;Virtualnu karticu","Ništa","Nemam odgovor","Ne znam","Da, u potpunosti sigurno"
"2020/10/31 11:07:15 AM CET","41-45","Ž","Da","ZABA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke","Niti jednu","Niti jednu","Prednost- ne treba se ici u banku, mana- nesigurnost, tesko za vecinu starijih i slabijih u IKT ","Ne osjećam se sigurno"
"2020/10/31 11:07:22 AM CET","41-45","Ž","Da","Erste Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke","Ne koristim","Nista","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 11:08:08 AM CET","36-40","Ž","Da","ZABA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","Internet/Mobilno bankarstvo koje koristim nudi sve gore navedene usluge","/","/","/","Da, u potpunosti sigurno"
"2020/10/31 11:08:08 AM CET","41-45","M","Da","RBA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa","Da, ali treba ga dodatno unaprijediti","Ugovaranje/raskid trajnog naloga;Zahtjev za promjenom dopuštenog prekoračenja","RaiPay?","Kupovina","Ne znan","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 11:08:21 AM CET","18-25","M","Da","PBZ;Neka druga banka","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Kupoprodaja strane valute (Mijenjačnica);Ulaganje u investicijske fondove","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa);Ukidanje opunomoćenika","","Kupovina, transfer novca","","Da, u potpunosti sigurno"
"2020/10/31 11:08:50 AM CET","36-40","M","Da","ZABA;Neka druga banka","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Kupoprodaja strane valute (Mijenjačnica);Oročavanje sredstava (Štednja);Ulaganje u investicijske fondove","Da u potpunosti","Zahtjev i ugovaranje nenamjenskih kredita;Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Zahtjev za promjenom dopuštenog prekoračenja;Virtualnu karticu","Revolut","Mjenjačnica, Internet bankarstvo","","Da, u potpunosti sigurno"
"2020/10/31 11:11:31 AM CET","36-40","Ž","Da","PBZ;Erste Bank;HPB","Uvid u sve račune/kredite/trajne naloge/promet po računu;Transfer novca na druge račune","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Otvaranje novog računa (npr. žiro računa);Zahtjev za promjenom dopuštenog prekoračenja","Ništa ","Plaćanja","Dostupnost i jednostavnost kao prednost, nekad nedovoljna preglednost kao nedostatak","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 11:12:34 AM CET","26-30","Ž","Da","PBZ","Uvid u sve račune/kredite/trajne naloge/promet po računu;Transfer novca na druge račune","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Zahtjev za promjenom dopuštenog prekoračenja","","","","Da, u potpunosti sigurno"
"2020/10/31 11:14:20 AM CET","41-45","Ž","Da","PBZ","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Otvaranje novog računa (npr. žiro računa);Zahtjev za promjenom dopuštenog prekoračenja;Ukidanje opunomoćenika","Ništa","Ništa","Ne znam","Ne osjećam se sigurno"
"2020/10/31 11:14:22 AM CET","36-40","Ž","Da","Addiko Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Kupoprodaja strane valute (Mijenjačnica);Oročavanje sredstava (Štednja);Ugovaranje ostalih proizvoda/usluga","Da, ali treba ga dodatno unaprijediti","Zahtjev i ugovaranje nenamjenskih kredita;Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa);Zahtjev za promjenom dopuštenog prekoračenja;Ukidanje opunomoćenika;Virtualnu karticu","Ne koristim","","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 11:15:54 AM CET","31-35","Ž","Da","Neka druga banka","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Screenshot provedenih transakcija","","","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 11:16:03 AM CET","41-45","M","Da","Neka druga banka","Uvid u sve račune/kredite/trajne naloge/promet po računu;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Ugovaranje/raskid trajnog naloga","","","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 11:16:50 AM CET","36-40","Ž","Da","RBA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Ukidanje opunomoćenika;RBA poslovna aplikacija ne nudi download potvrde o isplati a niti privatna niti poslovna ne nudi screenshot ekrana","Nijedan","","","Da, u potpunosti sigurno"
"2020/10/31 11:17:45 AM CET","36-40","Ž","Da","Neka druga banka","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Otvaranje novog računa (npr. žiro računa);Virtualnu karticu","Ne koristim","Ne koristim","Ne znam","Da, u potpunosti sigurno"
"2020/10/31 11:17:55 AM CET","41-45","M","Ne","Ne koristim Internet/Mobilno bankarstvo","Ne koristim Internet/Mobilno bankarstvo","Ne koristim Internet/Mobilno bankarstvo","Ne koristim Internet/Mobilno bankarstvo","","","","Ne koristim Internet/Mobilno bankarstvo/FinTech aplikacije"
"2020/10/31 11:18:06 AM CET","36-40","Ž","Da","ZABA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Zahtjev i ugovaranje nenamjenskih kredita;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Zahtjev za promjenom dopuštenog prekoračenja;Ukidanje opunomoćenika","","","","Da, u potpunosti sigurno"
"2020/10/31 11:19:02 AM CET","36-40","Ž","Da","Addiko Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Oročavanje sredstava (Štednja)","Da u potpunosti","Ugovaranje/raskid trajnog naloga;Zahtjev za promjenom dopuštenog prekoračenja","","","","Da, u potpunosti sigurno"
"2020/10/31 11:20:20 AM CET","46-50","M","Da","Erste Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","","","Kupovina","","Da, u potpunosti sigurno"
"2020/10/31 11:22:19 AM CET","18-25","Ž","Da","ZABA","Uvid u sve račune/kredite/trajne naloge/promet po računu","Da, ali treba ga dodatno unaprijediti","Internet/Mobilno bankarstvo koje koristim nudi sve gore navedene usluge","Revolut","Transfer","","Da, u potpunosti sigurno"
"2020/10/31 11:24:47 AM CET","36-40","Ž","Da","PBZ","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Oročavanje sredstava (Štednja)","Da u potpunosti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev","Ne koristim","Ne","Ne","Da, u potpunosti sigurno"
"2020/10/31 11:31:02 AM CET","41-45","Ž","Da","Erste Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Oročavanje sredstava (Štednja);Zahtjev za nenamjenski kredit","Da u potpunosti","Otvaranje novog računa (npr. žiro računa)","Revolut","kupovina, mjenjačnica, transfer novca","","Da, u potpunosti sigurno"
"2020/10/31 11:35:36 AM CET","41-45","Ž","Da","Addiko Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa);Zahtjev za promjenom dopuštenog prekoračenja;Ukidanje opunomoćenika","N/A","N/A","N/A","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 11:36:39 AM CET","36-40","Ž","Da","ZABA;PBZ","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Zahtjev za promjenom dopuštenog prekoračenja;Virtualnu karticu","Revolut","Transfer novaca i podizanje novca na bankomatima","Prednost je što se ne plaća provizija","Da, u potpunosti sigurno"
"2020/10/31 11:37:20 AM CET","41-45","Ž","Da","ZABA","Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","Zahtjev za promjenom dopuštenog prekoračenja;Ukidanje opunomoćenika","","","","Ne koristim Internet/Mobilno bankarstvo/FinTech aplikacije"
"2020/10/31 11:41:32 AM CET","46-50","Ž","Da","ZABA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa","Da u potpunosti","Zahtjev i ugovaranje nenamjenskih kredita","","","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 11:45:40 AM CET","36-40","Ž","Ne","Ne koristim Internet/Mobilno bankarstvo","Ne koristim Internet/Mobilno bankarstvo","Ne koristim Internet/Mobilno bankarstvo","Ne koristim Internet/Mobilno bankarstvo","-","-","-","Ne koristim Internet/Mobilno bankarstvo/FinTech aplikacije"
"2020/10/31 11:48:49 AM CET","36-40","Ž","Da","PBZ","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Oročavanje sredstava (Štednja)","Da u potpunosti","","Revolut","Kupovina","Sve supee","Ne osjećam se sigurno"
"2020/10/31 11:49:25 AM CET","36-40","Ž","Da","PBZ","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Zahtjev za promjenom dopuštenog prekoračenja","Revolut, Keks","Online kupovina, transfer novca ","Prednost je jednostavnost i brzina, nedostatak jos nisam otkrila.","Da, u potpunosti sigurno"
"2020/10/31 11:50:39 AM CET","36-40","Ž","Da","RBA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke","","","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 11:51:15 AM CET","36-40","Ž","Da","PBZ","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Zahtjev za promjenom dopuštenog prekoračenja","Nista","Nista","Neznam","Da, u potpunosti sigurno"
"2020/10/31 11:59:48 AM CET","26-30","Ž","Da","ZABA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Transfer novca na druge račune","Da u potpunosti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga","","","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 12:04:53 PM CET","36-40","Ž","Da","PBZ;RBA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","Zahtjev i ugovaranje nenamjenskih kredita;Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Zahtjev za promjenom dopuštenog prekoračenja","","","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 12:26:35 PM CET","36-40","M","Da","ZABA;PBZ;Erste Bank;RBA;Addiko Bank","Plaćanje režijskih računa;Transfer novca na druge račune;Kupoprodaja strane valute (Mijenjačnica)","Da u potpunosti","Zahtjev i ugovaranje nenamjenskih kredita","","","",""
"2020/10/31 12:35:23 PM CET","31-35","Ž","Da","PBZ","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Oročavanje sredstava (Štednja)","Da, ali treba ga dodatno unaprijediti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga","Ne","Ne","Ne znam","Da, u potpunosti sigurno"
"2020/10/31 12:45:09 PM CET","36-40","M","Da","Addiko Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa","Da u potpunosti;Da, ali treba ga dodatno unaprijediti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa)","-","-","-","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 12:52:53 PM CET","36-40","Ž","Da","Erste Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke","","","","Da, u potpunosti sigurno"
"2020/10/31 12:55:25 PM CET","26-30","Ž","Da","ZABA;PBZ","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Oročavanje sredstava (Štednja)","Da, ali treba ga dodatno unaprijediti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa);Zahtjev za promjenom dopuštenog prekoračenja;Ukidanje opunomoćenika;Virtualnu karticu","Ne koristim.","Transfer novca, kupovina.","Prednosti su štednja vremena, brzina, nedostataka nema.","Da, u potpunosti sigurno"
"2020/10/31 1:02:36 PM CET","36-40","Ž","Da","Addiko Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke","","","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 1:03:35 PM CET","36-40","Ž","Da","Addiko Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Oročavanje sredstava (Štednja)","Da u potpunosti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa);Ukidanje opunomoćenika;Virtualnu karticu","","","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 1:04:43 PM CET","46-50","Ž","Da","Addiko Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Kupoprodaja strane valute (Mijenjačnica);Oročavanje sredstava (Štednja);Ulaganje u investicijske fondove","Da u potpunosti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke","","","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 1:05:47 PM CET","26-30","Ž","Da","ZABA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa)","KeksPay","Transfer","upitna sigurnot","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 1:06:12 PM CET","41-45","Ž","Da","PBZ","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Kupoprodaja strane valute (Mijenjačnica)","Da, ali treba ga dodatno unaprijediti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Zahtjev za promjenom dopuštenog prekoračenja","Revolut","Kupovina, transfer novca","Novci odmah sjednu na racun, nema konverzija valute prilikom kupovine","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 1:11:54 PM CET","41-45","Ž","Da","PBZ","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Zahtjev za promjenom dopuštenog prekoračenja;Ukidanje opunomoćenika","/","/","/","Ne koristim Internet/Mobilno bankarstvo/FinTech aplikacije"
"2020/10/31 1:15:10 PM CET","41-45","M","Da","ZABA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa);Virtualnu karticu","Npr. Revolut","Kupnja","Džabe // bot za support","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 1:16:22 PM CET","41-45","Ž","Da","RBA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","Zahtjev za promjenom dopuštenog prekoračenja","","Kupovina","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 1:22:11 PM CET","46-50","M","Da","ZABA;RBA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Transfer novca na druge račune","Da u potpunosti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa);Zahtjev za promjenom dopuštenog prekoračenja","Ne koristim","Ne koristim","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 1:33:30 PM CET","31-35","M","Da","Addiko Bank;Neka druga banka","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa","Da u potpunosti","","","","","Da, u potpunosti sigurno"
"2020/10/31 1:37:10 PM CET","36-40","M","Da","Addiko Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Virtualnu karticu","Revolut","kupovina","","Da, u potpunosti sigurno"
"2020/10/31 1:38:17 PM CET","46-50","Ž","Da","Neka druga banka","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa)","","","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 1:42:49 PM CET","31-35","Ž","Da","ZABA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa);Zahtjev za promjenom dopuštenog prekoračenja;Ukidanje opunomoćenika","Izipay","Transfer novca","","Da, u potpunosti sigurno"
"2020/10/31 1:45:26 PM CET","36-40","Ž","Da","PBZ","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Oročavanje sredstava (Štednja)","Da u potpunosti","Zahtjev i ugovaranje nenamjenskih kredita;Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Ugovaranje/raskid trajnog naloga;Zahtjev za promjenom dopuštenog prekoračenja","Keks pay","Tranfer novca","Prednost brzina, nema nedostataka","Da, u potpunosti sigurno"
"2020/10/31 1:46:02 PM CET","36-40","Ž","Da","ZABA;Addiko Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Kupoprodaja strane valute (Mijenjačnica)","Da u potpunosti","Zahtjev i ugovaranje nenamjenskih kredita;Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Zahtjev za promjenom dopuštenog prekoračenja","Ne koristim","Ne koristim ","-","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/10/31 1:49:21 PM CET","31-35","Ž","Da","HPB","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa","Da u potpunosti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev","","","","Da, u potpunosti sigurno"
